Invoice_ID,Date,Customer_Name,Gender,Location,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Price,Payment_Method,Rating
INV0001,2025-03-12,Megan Brock,Female,Bangalore,P2002,Dell Inspiron,Laptop,1.0,48000,48000.0,Cash,4.2
INV0002,2024-12-13,Erin Kim,Male,Hyderabad,P3003,JBL Headphones,Accessories,4.0,2500,10000.0,Card,4.2
INV0003,2024-12-06,Jermaine Roberts,Male,Jaipur,P5002,Boat Smart Watch,Smart Watch,1.0,2500,2500.0,Wallet,4.8
INV0004,2025-04-10,Aaron Smith,Female,Jaipur,P1001,Samsung M14,Mobile,4.0,14000,56000.0,Card,3.4
INV0005,2025-01-31,Jill Wright,Male,Mumbai,P4001,Samsung Smart TV,Smart TV,5.0,40000,200000.0,UPI,4.3
INV0006,2025-03-23,Debbie Cervantes,Female,Delhi,P4001,Samsung Smart TV,Smart TV,2.0,40000,80000.0,UPI,4.6
INV0007,2024-12-15,Eric Gonzalez,Male,Hyderabad,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,UPI,4.9
INV0008,2024-12-13,Angel Jones,Female,Hyderabad,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Card,4.5
INV0009,2025-02-21,Amy Arroyo,Female,Chennai,P1001,Samsung M14,Mobile,1.0,14000,14000.0,Wallet,3.4
INV0010,2024-11-30,Sharon White,Male,Hyderabad,P5002,Boat Smart Watch,Smart Watch,5.0,2500,12500.0,UPI,4.3
INV0011,2024-11-24,Jose Crane,Male,Kolkata,P1001,Samsung M14,Mobile,2.0,14000,28000.0,Card,3.0
INV0012,2025-02-09,Richard Rivera,Male,Mumbai,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Cash,4.8
INV0013,2025-03-24,John Lamb,Female,Chennai,P1003,Redmi Note 12,Mobile,4.0,13000,52000.0,Cash,3.4
INV0014,2025-04-15,Jasmine Morton,Female,Pune,P5001,Apple Watch,Smart Watch,2.0,32000,64000.0,Wallet,4.5
INV0015,2025-04-20,Allen Boyd,Female,Chennai,P2001,HP Pavilion 15,Laptop,4.0,52000,208000.0,Cash,3.8
INV0016,2025-03-21,Jason Bridges,Female,Kolkata,P2001,HP Pavilion 15,Laptop,3.0,52000,156000.0,Card,4.2
INV0017,2024-12-06,Johnny Ramos,Female,Jaipur,P2001,HP Pavilion 15,Laptop,3.0,52000,156000.0,Cash,3.8
INV0018,2025-04-16,Matthew Gomez,Male,Hyderabad,P5001,Apple Watch,Smart Watch,4.0,32000,128000.0,UPI,4.7
INV0019,2025-03-08,Anna Murphy,Male,Jaipur,P1002,iPhone 14,Mobile,5.0,75000,375000.0,Card,4.5
INV0020,2025-03-17,Nicole Ballard,Female,Jaipur,P1001,Samsung M14,Mobile,5.0,14000,70000.0,Cash,3.8
INV0021,2025-04-24,Jay Mitchell,Female,Bangalore,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Card,4.1
INV0022,2025-02-09,Dakota Pope,Female,Bangalore,P3003,JBL Headphones,Accessories,4.0,2500,10000.0,Wallet,4.8
INV0023,2025-02-15,Howard Barnes,Female,Mumbai,P5001,Apple Watch,Smart Watch,3.0,32000,96000.0,Card,4.4
INV0024,2024-11-16,Kimberly Carlson,Female,Kolkata,P3001,Logitech Mouse,Accessories,5.0,700,3500.0,Wallet,3.9
INV0025,2025-04-09,Ryan Gallegos,Female,Jaipur,P1003,Redmi Note 12,Mobile,3.0,13000,39000.0,Wallet,3.3
INV0026,2024-12-21,Barbara Perez,Male,Delhi,P4001,Samsung Smart TV,Smart TV,4.0,40000,160000.0,Card,3.2
INV0027,2025-05-03,John Mccarty,Female,Delhi,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,UPI,4.0
INV0028,2025-01-13,Mark Barker,Female,Chennai,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,Cash,4.6
INV0029,2025-02-03,Tyler Watts,Male,Kolkata,P5001,Apple Watch,Smart Watch,2.0,32000,64000.0,Card,3.3
INV0030,2025-04-28,Debbie Graham,Male,Chennai,P3003,JBL Headphones,Accessories,2.0,2500,5000.0,Card,4.0
INV0031,2025-03-19,Valerie Navarro,Female,Mumbai,P1001,Samsung M14,Mobile,4.0,14000,56000.0,Card,4.2
INV0032,2024-11-21,Mark Woods,Female,Hyderabad,P3003,JBL Headphones,Accessories,3.0,2500,7500.0,Wallet,4.4
INV0033,2025-03-05,Joseph Harvey,Female,Bangalore,P2002,Dell Inspiron,Laptop,1.0,48000,48000.0,Card,3.5
INV0034,2024-11-18,Daniel Lloyd,Male,Jaipur,P1003,Redmi Note 12,Mobile,4.0,13000,52000.0,UPI,3.7
